dedicated_video_card,name,price,processor,ram,screen,storage,video_card
,Lenovo ThinkPad T440 (i5-4210U / 4GB / 500GB / W10P) [20B7A1HNCL],290000,Intel Core i5-4210U (2 núcleos / 4 hilos / 1700 MHz  - 2700 MHz),4 GB DDR3 (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel HD Graphics 4400 (Integrada)
,HP EliteBook 820 G2 (i3-5010U / 8GB / 500GB),299000,Intel Core i3-5010U (2 núcleos / 4 hilos / 2100 MHz ),8 GB DDR3 (1600 MHz),"LED 12.5"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 5500 (Integrada)
,ASUS X543NA-DM299T [90NB0HG7-M08330],299900,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 500 (Integrada)
,ASUS E410MA-BV037T [90NB0Q12-M13860],299990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2133 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,ASUS L510MA-WB04 [90NB0Q65-M06560],299990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2133 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",eMMC 128GB,Intel UHD Graphics 600 (Integrada)
,ASUS L510MA-DS04,299990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2133 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",eMMC 128GB,Intel UHD Graphics 600 (Integrada)
,HP 240 G7 [27R71LT],299990,Intel Celeron N4100 (4 núcleos / 4 hilos / 1100 MHz  - 2400 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (7200rpm),Intel UHD Graphics 600 (Integrada)
,HP 250 G7 (i3-1005G1 / 4GB / 1TB / W10H),299990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 15.6"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
,HP 348 G7 [2E4U1LT],299990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 630 (Integrada)
,HP Chromebook x360 14B-CA0645CL [9RT88UA],299990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB LPDDR4 (2400 MHz),"LED 14.0"" (1366x768) táctil / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
